date_registration,module_presentation_length,gender,highest_education,age_band,num_of_prev_attempts,studied_credits,disability,final_result,formng_clicks,oucontent_clicks,homepage_clicks,quiz_clicks,subpage_clicks,resource_clicks,url_clicks,ouwiki_clicks,questionnaire_clicks,glossary_clicks,total_click_bc,total_click_ac,total_click,total_assessment_submissions,total_TMA_submissions,total_CMA_submissions,total_Exam_submissions,late_rate
-141.0,261,0,1,0,0,90,0,1,7.0,81.0,76.0,89.0,13.0,11.0,14.0,128.0,7.0,5.0,22.0,248.0,270.0,9.0,3.0,6.0,1.0,0.0
-8.0,241,0,1,0,0,90,0,1,61.0,87.0,64.0,121.0,13.0,20.0,14.0,128.0,7.0,8.0,93.0,273.0,366.0,8.0,3.0,5.0,1.0,0.25
-38.0,269,1,1,0,0,60,0,0,175.0,91.0,126.0,531.0,93.0,26.0,10.0,0.0,7.0,1.0,10.0,1044.0,1054.0,5.0,2.0,3.0,1.0,1.0
-25.0,241,1,1,0,0,90,0,1,313.0,924.0,328.0,654.0,208.0,41.0,32.0,36.0,3.0,1.0,235.0,2325.0,2560.0,12.0,5.0,7.0,1.0,0.0
-78.0,240,0,2,0,0,60,0,0,98.0,315.0,364.0,615.0,275.0,42.0,60.0,87.0,7.0,7.0,248.0,1056.0,1304.0,13.0,5.0,7.0,1.0,0.6153846153846154
-44.0,262,0,2,0,0,120,0,1,46.0,761.0,214.0,263.0,35.0,44.0,3.0,0.0,3.0,36.0,158.0,1263.0,1421.0,5.0,5.0,5.0,0.0,0.0
-29.0,262,0,2,0,0,120,0,1,19.0,129.0,131.0,236.0,36.0,30.0,5.0,0.0,3.0,3.0,10.0,580.0,590.0,5.0,5.0,5.0,0.0,0.0
-22.0,240,0,1,1,0,60,0,1,1012.0,1.0,306.0,132.0,23.0,8.0,12.0,0.0,0.0,1.0,84.0,1411.0,1495.0,10.0,5.0,5.0,0.0,0.5
-102.0,268,1,1,0,0,60,0,1,718.0,1524.0,406.0,215.0,53.0,19.0,104.0,413.0,7.0,53.0,626.0,2837.0,3463.0,4.0,4.0,7.0,1.0,0.0
-92.0,268,1,2,0,0,60,0,1,535.0,784.0,336.0,152.0,21.0,10.0,9.0,166.0,7.0,53.0,312.0,1706.0,2018.0,4.0,4.0,7.0,1.0,0.0
-43.0,262,0,1,1,0,60,0,1,33.0,786.0,211.0,232.0,44.0,42.0,1.0,0.0,16.0,2.0,56.0,1343.0,1399.0,5.0,5.0,5.0,0.0,0.2
-82.0,268,1,2,0,0,90,1,1,999.0,1640.0,659.0,2817.0,404.0,55.0,81.0,109.0,40.0,2.0,390.0,6501.0,6891.0,12.0,5.0,7.0,1.0,0.0
-67.0,268,1,1,0,0,30,1,1,559.0,450.0,255.0,133.0,27.0,20.0,65.0,212.0,7.0,53.0,3.0,1719.0,1722.0,4.0,4.0,7.0,1.0,0.5
-30.0,262,0,3,1,0,60,0,1,317.0,2313.0,389.0,182.0,89.0,80.0,1.0,0.0,32.0,2.0,104.0,3301.0,3405.0,5.0,5.0,5.0,0.0,0.0
-35.0,268,1,1,1,0,60,0,1,1267.0,1068.0,681.0,1099.0,611.0,66.0,56.0,83.0,26.0,5.0,183.0,4861.0,5044.0,12.0,5.0,7.0,1.0,0.0
-23.0,240,1,2,0,0,150,1,1,227.0,1244.0,441.0,562.0,171.0,23.0,40.0,24.0,10.0,1.0,70.0,2718.0,2788.0,12.0,5.0,7.0,1.0,0.25
-17.0,241,1,3,1,0,60,0,1,65.0,511.0,144.0,132.0,21.0,14.0,19.0,24.0,7.0,53.0,15.0,917.0,932.0,4.0,4.0,7.0,1.0,0.75
-25.0,241,0,2,1,0,60,0,1,303.0,35.0,447.0,566.0,165.0,102.0,19.0,0.0,7.0,1.0,219.0,1421.0,1640.0,9.0,4.0,4.0,1.0,0.4444444444444444
-31.0,268,0,2,0,0,90,1,1,594.0,3627.0,844.0,1360.0,895.0,80.0,86.0,47.0,43.0,1.0,447.0,7236.0,7683.0,12.0,5.0,7.0,1.0,0.0
-45.0,268,1,3,0,0,90,0,0,11.0,205.0,67.0,245.0,63.0,2.0,1.0,5.0,1.0,1.0,107.0,602.0,602.0,3.0,2.0,1.0,1.0,0.0
-123.0,269,0,2,0,0,60,0,1,740.0,421.0,387.0,80.0,56.0,17.0,44.0,151.0,7.0,53.0,239.0,1658.0,1897.0,4.0,4.0,7.0,1.0,0.0
-46.0,269,1,1,0,0,60,0,1,113.0,522.0,278.0,65.0,13.0,6.0,27.0,164.0,7.0,53.0,29.0,1160.0,1189.0,4.0,4.0,7.0,1.0,0.0
-162.0,262,1,1,0,0,90,0,1,603.0,68.0,554.0,615.0,368.0,138.0,85.0,3.0,7.0,8.0,282.0,1639.0,1921.0,7.0,6.0,7.0,1.0,0.0
-25.0,269,1,2,1,0,60,0,1,405.0,3182.0,679.0,1245.0,970.0,67.0,30.0,35.0,28.0,1.0,337.0,6374.0,6711.0,12.0,5.0,7.0,1.0,0.08333333333333333
-74.0,241,1,2,1,0,60,0,1,108.0,39.0,184.0,1521.0,233.0,77.0,9.0,0.0,7.0,1.0,155.0,2022.0,2177.0,9.0,4.0,4.0,1.0,0.4444444444444444
-99.0,268,1,3,0,0,120,0,1,1095.0,508.0,258.0,189.0,15.0,7.0,27.0,229.0,7.0,53.0,83.0,2246.0,2329.0,4.0,4.0,7.0,1.0,0.0
-14.0,269,1,1,0,1,90,0,1,360.0,1260.0,348.0,931.0,174.0,67.0,19.0,0.0,7.0,1.0,4.0,3343.0,3347.0,8.0,4.0,3.0,1.0,0.625
-32.0,262,1,1,1,0,60,0,1,23.0,44.0,113.0,615.0,35.0,10.0,4.0,19.0,7.0,264.0,29.0,209.0,238.0,7.0,6.0,7.0,1.0,0.14285714285714285
-79.0,234,0,1,0,2,120,0,0,71.0,1.0,94.0,104.0,14.0,8.0,4.0,0.0,0.0,6.0,60.0,236.0,296.0,8.0,4.0,4.0,0.0,0.625
-16.0,241,1,3,0,0,120,0,1,137.0,171.0,223.0,454.0,150.0,62.0,1.0,0.0,7.0,1.0,2.0,1197.0,1199.0,9.0,4.0,4.0,1.0,0.6666666666666666
-4.0,269,0,1,1,0,30,1,1,5.0,226.0,59.0,69.0,14.0,79.0,14.0,128.0,7.0,1.0,25.0,422.0,447.0,7.0,3.0,4.0,1.0,0.8571428571428571
-63.0,268,0,1,1,0,60,0,1,221.0,23.0,184.0,77.0,117.0,97.0,7.0,0.0,0.0,1.0,142.0,730.0,730.0,11.0,6.0,5.0,0.0,0.7272727272727273
-44.0,268,0,2,0,0,60,0,1,44.0,216.0,97.0,5.0,49.0,7.0,7.0,100.0,7.0,53.0,68.0,529.0,529.0,4.0,4.0,7.0,1.0,0.25
-25.0,269,1,3,0,0,90,0,1,186.0,1120.0,480.0,580.0,260.0,14.0,29.0,5.0,11.0,1.0,22.0,2671.0,2693.0,12.0,5.0,7.0,1.0,0.0
-147.0,234,0,2,0,0,60,0,1,18.0,7.0,96.0,133.0,33.0,15.0,45.0,0.0,0.0,3.0,46.0,347.0,347.0,11.0,6.0,5.0,0.0,0.45454545454545453
-58.0,268,0,2,0,0,60,1,0,474.0,616.0,507.0,3882.0,394.0,34.0,26.0,19.0,29.0,1.0,176.0,5792.0,5968.0,12.0,5.0,7.0,1.0,0.0
-36.0,261,1,2,0,0,60,0,1,136.0,167.0,142.0,615.0,61.0,22.0,10.0,107.0,7.0,4.0,39.0,616.0,655.0,7.0,6.0,7.0,1.0,0.2857142857142857
-226.0,241,1,1,0,0,90,0,1,121.0,8.0,111.0,105.0,45.0,36.0,2.0,0.0,7.0,1.0,11.0,417.0,428.0,8.0,4.0,3.0,1.0,0.5
-31.0,234,0,3,0,0,60,0,0,111.0,25.0,2.0,105.0,27.0,5.0,9.0,0.0,0.0,1.0,1.0,2.0,2.0,6.0,6.0,4.0,0.0,0.5
-75.0,241,1,2,0,0,60,0,1,386.0,536.0,229.0,745.0,160.0,18.0,13.0,8.0,3.0,22.0,78.0,2030.0,2108.0,12.0,5.0,7.0,1.0,0.0
-151.0,261,1,2,1,0,60,0,0,2.0,37.0,39.0,615.0,68.0,13.0,6.0,16.0,7.0,2.0,6.0,177.0,183.0,2.0,2.0,7.0,1.0,0.5
-35.0,262,1,2,0,0,60,0,1,81.0,206.0,146.0,54.0,58.0,61.0,1.0,0.0,5.0,1.0,37.0,575.0,612.0,5.0,5.0,5.0,0.0,0.0
-36.0,240,1,2,1,0,60,0,1,1610.0,997.0,692.0,735.0,397.0,93.0,25.0,13.0,1.0,3.0,625.0,3990.0,4615.0,12.0,5.0,7.0,1.0,0.0
-53.0,240,1,1,0,1,180,0,0,235.0,634.0,179.0,19.0,146.0,31.0,18.0,11.0,10.0,1.0,113.0,1184.0,1297.0,3.0,3.0,7.0,1.0,0.0
-94.0,262,0,2,0,0,60,0,1,644.0,136.0,416.0,615.0,111.0,73.0,29.0,1.0,7.0,1.0,34.0,1454.0,1488.0,7.0,6.0,7.0,1.0,0.0
-24.0,241,1,2,0,0,60,0,0,39.0,53.0,34.0,105.0,7.0,3.0,1.0,32.0,7.0,53.0,15.0,227.0,242.0,4.0,4.0,7.0,1.0,0.0
-46.0,268,0,2,1,0,120,0,1,347.0,42.0,153.0,133.0,45.0,24.0,13.0,0.0,0.0,5.0,1.0,763.0,764.0,11.0,6.0,5.0,0.0,0.6363636363636364
-4.0,262,1,1,1,0,120,0,0,17.0,53.0,31.0,149.0,5.0,7.0,3.0,0.0,15.0,3.0,42.0,72.0,114.0,1.0,1.0,5.0,0.0,0.0
-38.0,269,1,3,1,0,30,0,1,139.0,106.0,213.0,721.0,227.0,76.0,7.0,0.0,7.0,1.0,5.0,1513.0,1518.0,9.0,4.0,4.0,1.0,0.4444444444444444
-51.0,269,1,2,0,0,60,0,1,25.0,40.0,63.0,455.0,50.0,156.0,2.0,0.0,7.0,1.0,2.0,789.0,791.0,9.0,4.0,4.0,1.0,0.5555555555555556
-26.0,261,0,1,0,0,30,0,0,7.0,26.0,63.0,114.0,13.0,25.0,14.0,128.0,7.0,2.0,17.0,241.0,241.0,9.0,3.0,6.0,1.0,0.1111111111111111
-1.0,268,0,1,1,0,60,0,1,63.0,2.0,74.0,75.0,6.0,2.0,10.0,0.0,0.0,5.0,19.0,232.0,232.0,10.0,5.0,5.0,0.0,0.5
-85.0,268,1,2,0,0,150,0,1,15.0,186.0,60.0,0.0,28.0,10.0,3.0,0.0,0.0,2.0,145.0,158.0,303.0,5.0,5.0,0.0,0.0,0.4
-73.0,269,1,3,0,0,60,0,1,12.0,272.0,185.0,298.0,89.0,18.0,4.0,0.0,7.0,1.0,28.0,850.0,878.0,4.0,2.0,3.0,1.0,0.75
-127.0,241,0,2,0,0,30,0,1,7.0,100.0,111.0,205.0,34.0,32.0,14.0,128.0,7.0,1.0,48.0,441.0,489.0,9.0,3.0,6.0,1.0,0.1111111111111111
