date_registration,module_presentation_length,gender,highest_education,age_band,num_of_prev_attempts,studied_credits,disability,final_result,formng_clicks,oucontent_clicks,homepage_clicks,quiz_clicks,subpage_clicks,resource_clicks,url_clicks,ouwiki_clicks,questionnaire_clicks,glossary_clicks,total_click_bc,total_click_ac,total_click,total_assessment_submissions,total_TMA_submissions,total_CMA_submissions,total_Exam_submissions,late_rate
-15,240,0,3,0,0,60,0,1,4628,1,465,128,46,31,28,0,0,6,13,5327,5327,11,6,5,0,0.454545455
-50,240,0,1,0,0,60,0,0,126,1,137,40,19,4,11,0,0,1,10,328,338,6,3,3,0,0.666666667
-17,241,0,3,1,0,30,0,1,24,382,141,134,29,23,14,128,7,6,10,729,739,9,3,6,1,0
-54,268,1,1,1,0,60,0,1,158,91,199,0,68,16,2,0,0,2,43,491,534,5,5,0,0,0.2
-155,269,0,3,1,0,90,0,1,4144,5036,2648,1048,1198,84,142,101,46,1,526,14068,14594,12,5,7,1,0
-137,241,1,2,0,0,60,0,0,98,65,43,615,66,26,2,4,7,2,66,145,211,1,1,7,1,1
-46,241,0,2,0,0,60,0,0,135,35,78,615,40,2,12,3,7,7,40,271,311,1,1,7,1,0
-154,262,1,3,1,0,60,0,1,89,28,85,615,72,30,6,1,7,13,66,314,380,7,6,7,1,0.142857143
-32,269,1,2,0,0,60,0,1,236,634,241,135,52,7,31,77,7,53,16,1397,1413,4,4,7,1,0
-2,269,0,1,1,0,30,0,1,88,909,167,84,60,66,14,128,7,1,18,1375,1375,8,3,5,1,0
-44,241,1,2,0,0,60,0,0,50,111,87,440,47,15,4,0,7,1,73,684,757,1,2,1,1,1
-44,269,0,1,0,0,30,0,1,162,338,281,119,31,34,14,128,7,65,124,906,1030,9,3,6,1,0
-28,240,0,2,0,0,60,0,0,172,1,47,37,13,5,3,0,0,1,2,277,277,4,2,2,0,1
-24,261,0,2,1,0,30,0,1,56,227,123,168,47,48,14,128,7,4,13,673,673,8,2,6,1,0.125
-22,241,1,3,1,0,90,0,0,7,49,37,243,55,54,6,0,7,1,23,430,453,3,1,2,1,1
-121,269,0,2,0,0,60,0,1,103,745,394,0,146,22,56,0,0,6,175,1297,1472,5,5,0,0,0.2
-60,268,1,1,0,0,60,0,1,706,1734,826,835,428,51,49,19,40,2,190,4554,4744,12,5,7,1,0
-30,269,1,2,0,0,60,0,1,10,583,141,125,2,5,12,80,7,53,1,958,959,4,4,7,1,0.75
-22,269,1,1,0,0,30,0,0,10,5,69,21,18,122,3,0,7,1,165,73,238,1,3,1,1,1
-29,268,1,1,0,0,60,0,1,122,844,275,146,17,20,61,405,7,53,29,1867,1896,4,4,7,1,0
-121,240,1,3,0,0,120,0,1,385,2831,899,1287,755,101,45,21,19,1,212,6171,6383,12,5,7,1,0.083333333
-64,234,0,2,0,0,60,0,0,1330,5,10,73,5,4,3,0,0,1,5,95,100,10,5,5,0,0.5
-114,241,1,3,1,0,60,0,1,23,85,71,2,42,30,6,80,7,53,9,330,339,3,3,7,1,1
-29,269,1,2,0,0,90,0,1,266,298,236,69,13,10,30,133,7,53,232,826,1058,4,4,7,1,0.5
-117,240,0,2,0,1,120,0,0,19,1,38,29,17,17,2,0,0,4,212,123,123,5,3,2,0,0.6
-22,240,1,2,1,0,60,0,1,249,124,312,615,414,152,133,138,7,15,4,1562,1566,14,6,7,1,0.5
